game_id,date,home_team,away_team,model,side,edge,kalshi_price,model_prob,home_win,outcome,pnl
22500482,2026-01-02,New Orleans Pelicans,Portland Trail Blazers,M2,buy,0.0592,0.41,0.4692,0,0,-20.5
22500477,2026-01-02,Washington Wizards,Brooklyn Nets,M2,sell,-0.1822,0.58,0.3978,1,0,-21.0
22500493,2026-01-03,LA Clippers,Boston Celtics,M2,sell,-0.0691,0.53,0.4609,0,1,24.645
22500489,2026-01-03,Chicago Bulls,Charlotte Hornets,M2,sell,-0.0564,0.54,0.4836,0,1,25.11
22500496,2026-01-04,Brooklyn Nets,Denver Nuggets,M2,buy,0.0616,0.43,0.4916,1,1,26.505
22500494,2026-01-04,Cleveland Cavaliers,Detroit Pistons,M2,sell,-0.2475,0.59,0.3425,0,1,27.435
22500502,2026-01-05,Detroit Pistons,New York Knicks,M2,buy,0.1239,0.47,0.5939,1,1,24.645
22500504,2026-01-05,Toronto Raptors,Atlanta Hawks,M2,buy,0.0504,0.58,0.6304,1,1,19.53
22500508,2026-01-05,LA Clippers,Golden State Warriors,M2,buy,0.1599,0.4,0.5599,1,1,27.9
22500530,2026-01-08,Minnesota Timberwolves,Cleveland Cavaliers,M2,buy,0.0927,0.58,0.6727,1,1,19.53
22500537,2026-01-09,Denver Nuggets,Atlanta Hawks,M2,buy,0.1766,0.44,0.6166,0,0,-22.0
22500538,2026-01-09,Phoenix Suns,New York Knicks,M2,buy,0.1051,0.49,0.5951,1,1,23.715
22500541,2026-01-09,Los Angeles Lakers,Milwaukee Bucks,M2,sell,-0.2017,0.6,0.3983,0,1,27.9
22500545,2026-01-10,Boston Celtics,San Antonio Spurs,M2,buy,0.094,0.5,0.594,0,0,-25.0
22500544,2026-01-10,Detroit Pistons,LA Clippers,M2,buy,0.1189,0.54,0.6589,0,0,-27.0
22500542,2026-01-10,Cleveland Cavaliers,Minnesota Timberwolves,M2,sell,-0.0746,0.57,0.4954,1,0,-21.5
22500550,2026-01-11,Toronto Raptors,Philadelphia 76ers,M2,buy,0.1659,0.47,0.6359,1,1,24.645
22500560,2026-01-12,Toronto Raptors,Philadelphia 76ers,M2,buy,0.2413,0.43,0.6713,0,0,-21.5
22500564,2026-01-13,Miami Heat,Phoenix Suns,M2,sell,-0.069,0.54,0.471,1,0,-23.0
22500567,2026-01-13,New Orleans Pelicans,Denver Nuggets,M2,sell,-0.1198,0.44,0.3202,0,1,20.46
22500569,2026-01-13,Los Angeles Lakers,Atlanta Hawks,M2,buy,0.0679,0.51,0.5779,1,1,22.785
22500574,2026-01-14,New Orleans Pelicans,Brooklyn Nets,M2,sell,-0.1056,0.5,0.3944,1,0,-25.0
22500572,2026-01-14,Philadelphia 76ers,Cleveland Cavaliers,M2,buy,0.1439,0.51,0.6539,0,0,-25.5
22500571,2026-01-14,Indiana Pacers,Toronto Raptors,M2,sell,-0.2262,0.53,0.3038,0,1,24.645
22500581,2026-01-15,Houston Rockets,Oklahoma City Thunder,M2,buy,0.1217,0.4,0.5217,0,0,-20.0
22500583,2026-01-15,Dallas Mavericks,Utah Jazz,M2,buy,0.0545,0.56,0.6145,1,1,20.46
22500585,2026-01-15,Portland Trail Blazers,Atlanta Hawks,M2,buy,0.1072,0.41,0.5172,1,1,27.435
22500590,2026-01-16,Toronto Raptors,LA Clippers,M2,buy,0.0804,0.56,0.6404,0,0,-28.0
22500587,2026-01-16,Brooklyn Nets,Chicago Bulls,M2,sell,-0.0599,0.51,0.4501,1,0,-24.5
22500594,2026-01-17,Atlanta Hawks,Boston Celtics,M2,buy,0.0574,0.4,0.4574,0,0,-20.0
22500596,2026-01-17,New York Knicks,Phoenix Suns,M2,sell,-0.0728,0.51,0.4372,0,1,23.715
22500601,2026-01-17,Portland Trail Blazers,Los Angeles Lakers,M2,sell,-0.1015,0.59,0.4885,1,0,-20.5
22500607,2026-01-18,Los Angeles Lakers,Toronto Raptors,M2,sell,-0.1179,0.55,0.4321,1,0,-22.5
22500606,2026-01-18,Sacramento Kings,Portland Trail Blazers,M2,sell,-0.1882,0.49,0.3018,0,1,22.785
22500017,2026-01-19,Detroit Pistons,Boston Celtics,M2,buy,0.0599,0.56,0.6199,1,1,20.46
22500617,2026-01-20,Denver Nuggets,Los Angeles Lakers,M2,buy,0.0925,0.42,0.5125,0,0,-21.0
22500614,2026-01-20,Chicago Bulls,LA Clippers,M2,sell,-0.1001,0.57,0.4699,1,0,-21.5
22500613,2026-01-20,Philadelphia 76ers,Phoenix Suns,M2,buy,0.0772,0.44,0.5172,0,0,-22.0
22500620,2026-01-21,Charlotte Hornets,Cleveland Cavaliers,M2,buy,0.1776,0.41,0.5876,0,0,-20.5
22500623,2026-01-21,Memphis Grizzlies,Atlanta Hawks,M2,buy,0.0987,0.52,0.6187,0,0,-26.0
22500634,2026-01-22,Portland Trail Blazers,Miami Heat,M2,sell,-0.0555,0.59,0.5345,1,0,-20.5
22500628,2026-01-22,Philadelphia 76ers,Houston Rockets,M2,buy,0.0692,0.46,0.5292,1,1,25.11
22500643,2026-01-24,Philadelphia 76ers,New York Knicks,M2,sell,-0.0661,0.5,0.4339,0,1,23.25
22500674,2026-01-28,Miami Heat,Orlando Magic,M2,sell,-0.1455,0.58,0.4345,0,1,26.97
22500685,2026-01-29,Phoenix Suns,Detroit Pistons,M2,buy,0.0874,0.4,0.4874,1,1,27.9
22500681,2026-01-29,Washington Wizards,Milwaukee Bucks,M2,sell,-0.118,0.47,0.352,1,0,-26.5
22500694,2026-01-30,Utah Jazz,Brooklyn Nets,M2,sell,-0.1436,0.6,0.4564,0,1,27.9
22500693,2026-01-30,Phoenix Suns,Cleveland Cavaliers,M2,buy,0.153,0.47,0.623,1,1,24.645
22500695,2026-01-30,Denver Nuggets,LA Clippers,M2,buy,0.128,0.44,0.568,1,1,26.04
22500696,2026-01-30,Golden State Warriors,Detroit Pistons,M2,sell,-0.0551,0.56,0.5049,0,1,26.04
22500691,2026-01-30,New Orleans Pelicans,Memphis Grizzlies,M2,sell,-0.1501,0.59,0.4399,1,0,-20.5
22500687,2026-01-30,Orlando Magic,Toronto Raptors,M2,sell,-0.1411,0.56,0.4189,1,0,-22.0
